Date,Bike,Car,Lorry,speed_00,speed_10,speed_20,speed_30,speed_40,speed_50,speed_60
2020-08-07 15:00:00+00,1.320132013,25.08250825,0,7.920792079,,7.920792079,1.320132013,2.640264026,1.320132013,1.320132013
2020-08-07 16:00:00+00,0,27.81712814,0,16.22665808,,,2.318094012,2.318094012,4.636188023,
2020-08-07 17:00:00+00,6.050420168,38.31932773,0,24.20168067,4.033613445,,8.067226891,,,
2020-08-07 18:00:00+00,2.611534276,11.75190424,0,5.223068553,,1.305767138,2.611534276,,1.305767138,1.305767138
2020-08-07 19:00:00+00,0,0,0,,,,,,,
2020-08-07 20:00:00+00,0,0,0,,,,,,,
2020-08-07 21:00:00+00,0,0,0,,,,,,,
2020-08-07 22:00:00+00,0,0,0,,,,,,,
2020-08-07 23:00:00+00,0,0,0,,,,,,,
2020-08-08 00:00:00+00,0,0,0,,,,,,,
2020-08-08 01:00:00+00,0,0,0,,,,,,,
2020-08-08 02:00:00+00,0,0,0,,,,,,,
2020-08-08 03:00:00+00,0,0,0,,,,,,,
2020-08-08 04:00:00+00,0,15.69311247,0,6.277244987,3.138622493,,6.277244987,,,
2020-08-08 05:00:00+00,0,24.275118,0,9.710047202,9.710047202,2.4275118,2.4275118,,,
2020-08-08 06:00:00+00,1.882845188,18.82845188,0,9.414225941,1.882845188,3.765690377,,,,
2020-08-08 07:00:00+00,0,22.14411248,0,9.490333919,6.326889279,,3.16344464,3.16344464,,
2020-08-08 08:00:00+00,19.89735492,38.37347019,0,12.79115673,12.79115673,2.842479274,2.842479274,5.684958547,1.421239637,
2020-08-08 09:00:00+00,18.71518752,52.13516524,0,14.7047902,5.347196435,18.71518752,5.347196435,6.683995544,1.336799109,
2020-08-08 10:00:00+00,11.9955572,34.65383191,0,9.329877823,3.998519067,6.664198445,10.66271751,1.332839689,1.332839689,1.332839689
2020-08-08 11:00:00+00,10.94224924,27.3556231,0,15.04559271,1.367781155,5.47112462,2.73556231,2.73556231,,
2020-08-08 12:00:00+00,13.00578035,19.50867052,0,7.803468208,2.601156069,5.202312139,2.601156069,1.300578035,,
2020-08-08 13:00:00+00,22.08588957,15.5900397,0,7.795019848,2.598339949,1.299169975,,1.299169975,1.299169975,1.299169975
2020-08-08 14:00:00+00,14.6287403,25.26782416,0,10.63908386,2.659770964,5.319541928,6.64942741,,,
2020-08-08 15:00:00+00,2.665679378,22.65827471,0,9.329877823,6.664198445,3.998519067,,1.332839689,,1.332839689
2020-08-08 16:00:00+00,0,10.72226359,0,5.361131794,2.680565897,,2.680565897,,,
2020-08-08 17:00:00+00,12.20338983,17.62711864,0,9.491525424,,5.423728814,,1.355932203,,
2020-08-08 18:00:00+00,9.984152139,15.68938193,0,4.278922345,1.426307448,2.852614897,1.426307448,1.426307448,1.426307448,
2020-08-08 19:00:00+00,0,0,0,,,,,,,
2020-08-08 20:00:00+00,0,0,0,,,,,,,
2020-08-08 21:00:00+00,0,0,0,,,,,,,
2020-08-08 22:00:00+00,0,0,0,,,,,,,
2020-08-08 23:00:00+00,0,0,0,,,,,,,
2020-08-09 00:00:00+00,0,0,0,,,,,,,
2020-08-09 01:00:00+00,0,0,0,,,,,,,
2020-08-09 02:00:00+00,0,0,0,,,,,,,
2020-08-09 03:00:00+00,0,0,0,,,,,,,
2020-08-09 04:00:00+00,0,4.615384615,0,2.307692308,,2.307692308,,,,
2020-08-09 05:00:00+00,1.351351351,8.108108108,0,1.351351351,1.351351351,1.351351351,1.351351351,,1.351351351,
2020-08-09 06:00:00+00,5.042016807,3.361344538,0,,1.680672269,,,1.680672269,,
2020-08-09 07:00:00+00,0,0,0,,,,,,,
2020-08-09 08:00:00+00,7.947019868,10.59602649,0,1.324503311,2.649006623,1.324503311,2.649006623,,1.324503311,
2020-08-09 09:00:00+00,4.7829938,12.75465013,0,3.188662533,,4.7829938,3.188662533,1.594331267,,
2020-08-09 10:00:00+00,7.010710808,15.77409932,0,1.752677702,3.505355404,1.752677702,1.752677702,5.258033106,1.752677702,
2020-08-09 11:00:00+00,11.44674086,8.585055644,0,1.430842607,,5.723370429,,,1.430842607,
2020-08-09 12:00:00+00,16.36935992,12.59181532,0,5.036726128,,3.777544596,2.518363064,,1.259181532,
2020-08-09 13:00:00+00,0,12.8113879,0,3.84341637,,1.28113879,2.56227758,2.56227758,,
2020-08-09 14:00:00+00,1.31147541,10.49180328,0,5.245901639,,2.62295082,2.62295082,,,
2020-08-09 15:00:00+00,1.314348302,19.71522453,0,5.257393209,1.314348302,1.314348302,5.257393209,1.314348302,1.314348302,1.314348302
2020-08-09 16:00:00+00,5.240174672,40.61135371,2.620087336,17.03056769,2.620087336,1.310043668,9.170305677,3.930131004,,3.930131004
2020-08-09 17:00:00+00,6.528835691,22.19804135,0,7.834602829,1.305767138,6.528835691,2.611534276,,1.305767138,
2020-08-09 18:00:00+00,19.02017291,6.916426513,0,1.729106628,,,3.458213256,1.729106628,,
2020-08-09 19:00:00+00,0,0,0,,,,,,,
2020-08-09 20:00:00+00,0,0,0,,,,,,,
2020-08-09 21:00:00+00,0,0,0,,,,,,,
2020-08-09 22:00:00+00,0,0,0,,,,,,,
2020-08-09 23:00:00+00,0,0,0,,,,,,,
2020-08-10 00:00:00+00,0,0,0,,,,,,,
2020-08-10 01:00:00+00,0,0,0,,,,,,,
2020-08-10 02:00:00+00,0,0,0,,,,,,,
2020-08-10 03:00:00+00,0,0,0,,,,,,,
2020-08-10 04:00:00+00,0,31.98707593,0,8.723747981,14.53957997,2.907915994,2.907915994,,2.907915994,
2020-08-10 05:00:00+00,3.824362606,45.89235127,3.824362606,12.74787535,7.648725212,8.923512748,5.099150142,6.373937677,3.824362606,
2020-08-10 06:00:00+00,3.868194842,54.15472779,1.289398281,12.89398281,7.736389685,9.025787966,11.60458453,7.736389685,2.578796562,1.289398281
2020-08-10 07:00:00+00,0,84.90566038,0,12.73584906,25.47169811,12.73584906,21.22641509,8.490566038,4.245283019,
2020-08-10 08:00:00+00,8.250572956,53.62872422,2.750190985,17.87624141,9.625668449,13.75095493,6.875477464,2.750190985,2.750190985,
2020-08-10 09:00:00+00,5.217391304,49.56521739,2.608695652,14.34782609,9.130434783,13.04347826,10.43478261,2.608695652,,
2020-08-10 10:00:00+00,5.319541928,54.52530477,1.329885482,11.96896934,10.63908386,15.95862579,6.64942741,2.659770964,1.329885482,1.329885482
