AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp
0.50029635,1.0094546,0.0069799423,0.00992656,-0.11789699,0.012751812,NORMAL,3581971
0.14944553,1.7533877,-0.14399147,-0.013897184,0.036651913,0.035353824,NORMAL,3581972
-0.2985816,1.024201,1.3749132,0.049632803,0.009162978,0.030466905,NORMAL,3581972
-1.9584488,-2.573743,1.909379,-0.020616703,-0.0720821,0.010308351,NORMAL,3581973
0.04413879,-1.7667391,1.9661274,0.03863723,-0.1600467,-0.08437576,NORMAL,3581974
0.59396553,-0.051578224,-2.7402616,-0.027947085,-0.08979719,-0.047112983,NORMAL,3581974
-0.71120703,-0.08914128,0.61780643,-0.035888333,-0.081855945,-0.023289237,NORMAL,3581975
1.102657,-0.14257756,-0.9020567,-0.0016798794,0.057421334,0.006032294,NORMAL,3581975
-0.3029871,-0.59020543,-0.70291233,0.019700404,0.124005646,-0.008017606,NORMAL,3581976
-0.4702406,-0.5613532,-0.5663576,0.007483099,0.009773844,0.0139735425,NORMAL,3581976
-0.41078174,-0.892748,-0.2838564,-0.076816306,0.028099801,0.05245805,NORMAL,3581977
0.16291046,-0.15430644,-2.1830459,-0.10980303,0.026267206,-0.031841353,NORMAL,3581977
0.19354117,0.034735143,-0.39703178,0.056963183,0.015271631,0.04390594,NORMAL,3581978
-0.45881522,0.069915324,0.38235092,0.08017606,0.2125811,0.73112935,NORMAL,3581978
-0.36224866,1.3725277,-0.6459875,-0.0010690142,-0.06780604,0.1465313,NORMAL,3581979
-1.907216,0.15964231,1.862299,0.024587326,-0.069027774,0.16791159,NORMAL,3581979
-0.50686955,1.3351102,-0.9131155,0.014202617,-0.005497787,0.051847186,NORMAL,3581980
-1.0642374,-0.6184949,-0.08961487,0.041080687,-0.009162978,0.07811439,NORMAL,3581981
-0.69829106,0.26956436,-1.0594797,0.0062613687,-0.073303826,0.041462477,NORMAL,3581981
-0.6101984,-0.8844038,-0.224679,0.027641652,0.02443461,0.034132097,NORMAL,3581982
0.77752566,0.30503777,1.6295185,-0.012675454,0.08552113,0.017638734,NORMAL,3581982
0.73080754,0.26767406,0.98848915,-0.029168816,-0.021380283,-0.004352415,NORMAL,3581983
1.4776874,1.4848181,-0.047616005,0.078343466,0.076358154,-0.0055741454,NORMAL,3581983
-0.41681814,-1.2963747,-0.5194626,0.00076358154,0.086132,-0.0037415496,NORMAL,3581984
0.22266197,1.7707328,0.23716831,0.016646078,-0.016493361,-0.08071057,NORMAL,3581984
0.5108726,0.43023238,-0.25705528,-0.015118915,-0.054367006,-0.026343564,NORMAL,3581985
2.0136995,0.54507196,-0.8096447,0.016035212,-0.13194689,-0.054443367,NORMAL,3581985
1.0519447,-0.15959644,-0.04487419,0.033750303,0.002443461,-0.02939789,NORMAL,3581986
-0.40830684,0.38051003,0.9647474,-0.00290161,0.2864958,0.0463494,NORMAL,3581986
1.2436733,-0.35952988,0.5658617,-0.005955936,-0.070249505,-0.04466952,NORMAL,3581987
1.505762,-0.2035577,-1.0935163,0.02397646,0.105068825,-0.05138904,NORMAL,3581988
1.0619525,0.005475968,-0.8173933,0.00015271631,-0.0720821,-0.06299548,NORMAL,3581988
0.51174486,-0.90884984,0.15187073,-0.02611449,-0.103847094,-0.086819224,NORMAL,3581989
1.7384689,1.3155266,-0.30425358,-0.02367103,-0.009162978,0.0005345071,NORMAL,3581989
-0.09929919,0.29797715,-0.5035467,0.036193766,0.22968534,-0.026343564,NORMAL,3581990
1.9839971,1.205527,1.1677351,-0.09819659,-0.005497787,-0.05749769,NORMAL,3581990
1.9405804,-2.1030433,0.547719,0.009315695,0.19425514,-0.061773747,NORMAL,3581991
0.7891383,-0.64093125,-0.3833294,-0.047494773,-0.11362094,-0.07032586,NORMAL,3581991
1.0810113,-0.40784103,0.61438847,-0.016340645,-0.0030543262,-0.03795,NORMAL,3581992
-0.12201643,-1.9112821,-0.6814165,0.03313944,-0.035430185,0.0035888334,NORMAL,3581992
-0.6472831,-1.3982311,-0.5331373,-0.008399397,0.02687807,-0.008017606,NORMAL,3581993
-0.5857099,-1.6328287,0.092811584,0.008093964,-0.080634214,-0.008628472,NORMAL,3581994
-0.5347477,-0.04429859,-0.19120693,-0.0096211275,0.12217305,0.07383834,NORMAL,3581994
0.7335012,1.1490476,0.5113716,-0.04627304,-0.03848451,0.021914791,NORMAL,3581995
0.3121524,0.71033704,-0.7624264,-0.0364992,-0.035430185,0.02069306,NORMAL,3581995
0.5666568,2.3416188,1.5069828,0.012370021,-0.03359759,0.0017562376,NORMAL,3581996
-0.6274482,0.19800434,0.8199158,-0.024281893,-0.081855945,0.011530082,NORMAL,3581996
0.40572643,1.6957283,-0.87206745,0.001985312,-0.1704314,-0.042836927,NORMAL,3581997
-0.16157699,0.3820323,-0.26260662,0.0062613687,-0.03604105,-0.00496328,NORMAL,3581997
-0.1201148,1.3009232,-0.08199215,0.04841107,0.039095376,-0.042836927,NORMAL,3581998
-1.0512913,0.5723382,-0.08485794,0.05757405,0.08368854,0.02313652,NORMAL,3581998
0.23967695,0.2552844,-2.34524,-0.010842858,0.026267206,0.026190847,NORMAL,3581999
-0.8772129,-0.0959194,-0.33966827,-0.054825157,-0.06841691,0.04390594,NORMAL,3581999
-0.7303902,0.6445043,0.21889114,-0.07437284,-0.20280726,0.017638734,NORMAL,3582000
-0.2617097,0.88043594,-0.5672054,0.0032070426,-0.017104227,-0.018402316,NORMAL,3582001
-0.5680224,0.43675834,0.7887192,-0.06704246,0.0030543262,0.0463494,NORMAL,3582001
-0.4389205,1.0478426,-0.13157749,0.012980887,0.008552114,0.0139735425,NORMAL,3582002
-1.4025836,-0.120562255,-0.05661106,-0.0053450707,0.052534413,-0.023900103,NORMAL,3582002
-0.6899687,-0.7805097,0.808527,0.045356743,0.1001819,-0.021456642,NORMAL,3582003
0.074970484,0.4689448,-1.2825317,0.022143865,-0.089186326,0.0463494,NORMAL,3582003
0.6682217,0.3344247,0.16899967,-0.040775254,0.09101892,0.089109965,NORMAL,3582004
0.26713026,-0.11490896,0.62590027,-0.005955936,0.022602014,0.12087496,NORMAL,3582004
-0.24455321,1.0023086,-0.05278206,0.008093964,0.014049901,-0.048945576,NORMAL,3582005
-1.2424328,0.15371498,-0.20565033,-0.10186178,-0.50579643,-0.09720393,NORMAL,3582005
0.06470144,-0.1331925,-0.40623283,-0.00290161,0.07269296,0.09644035,NORMAL,3582006
-1.3918254,1.0933129,0.7494955,-0.049938235,-0.048258353,0.00786489,NORMAL,3582006
-0.19991648,0.20212922,0.044683456,0.09666943,0.14355333,0.018860465,NORMAL,3582007
-1.8096787,-1.4094648,-0.33883476,0.075289145,0.073303826,0.002977968,NORMAL,3582008
0.2573502,0.6867457,-1.031743,0.010537425,-0.014660766,0.012751812,NORMAL,3582008
0.6500881,0.3196152,0.86803246,0.05757405,0.12767084,0.022525655,NORMAL,3582009
0.5868373,-0.1069407,0.82673454,0.0062613687,-0.07574729,0.02069306,NORMAL,3582009
0.45173407,0.40016013,0.20748901,-0.00290161,-0.13194689,-0.038560867,NORMAL,3582010
0.42225385,0.09699651,-0.45035076,-0.04138612,-0.0030543262,0.00908662,NORMAL,3582010
-1.4236269,1.3405201,0.5310621,-0.035888333,0.017715093,0.026190847,NORMAL,3582011
0.083128214,-0.3606336,-0.83594036,-0.054825157,-0.095294975,-0.027565295,NORMAL,3582011
0.46420074,-0.13835078,-0.5917263,0.00870483,-0.040927973,-0.018402316,NORMAL,3582012
0.15442705,-0.11684701,0.20349026,0.019089539,0.02443461,-0.024510968,NORMAL,3582012
1.1042683,-0.26806283,-0.0051994324,-0.033444874,-0.13255776,0.05795584,NORMAL,3582013
0.7303755,-0.16196689,-0.120209694,0.036193766,-0.07819075,0.0011453723,NORMAL,3582013
-1.1225946,-0.2505605,3.2046804,-0.0664316,0.18997909,0.04757113,NORMAL,3582014
-0.9048624,0.32294068,0.58187294,0.025198191,0.08124508,0.037797287,NORMAL,3582015
0.10470843,1.0605251,-0.6725807,-0.034055736,0.099571034,0.10560333,NORMAL,3582015
-1.1202767,-0.21340388,-0.2765131,-0.0065668016,-0.108123146,0.0048105638,NORMAL,3582016
-0.09445393,0.32861355,0.23159695,0.08200866,-0.096516706,-0.028787024,NORMAL,3582016
0.1194942,0.42191732,-2.941308,0.16691893,0.06414085,0.3206279,NORMAL,3582017
0.6549158,-1.3212717,1.4578304,0.09789115,0.15393804,-0.08132143,NORMAL,3582017
0.62814736,0.41262424,-0.8723793,-0.058490347,0.016493361,-0.031230485,NORMAL,3582018
